X1,Y1,X2,Y2
3712,3129,3712,3185
1325,1432,1716,1432
2484,2705,2533,2699
572,1467,572,1427
4853,3661,4853,3606
1430,2639,1431,2572
1710,1078,1710,1134
3410,3707,3474,3708
1431,3193,1431,3249
3489,2503,3529,2503
3230,3712,3318,3712
2720,3707,2775,3707
284,2190,285,2103
4290,2566,4345,2566
2658,3433,2731,3432
3419,2572,3475,2572
3993,1915,3993,1792
3462,3137,3508,3137
1716,1496,1716,1552
637,2505,677,2506
4851,3196,4852,3247
678,2568,723,2568
4524,2566,4580,2566
3407,3713,3479,3714
4066,2631,4187,2631
574,2282,614,2282
2659,3374,2758,3374
285,2086,285,2034
2255,2176,2317,2174
859,1556,859,1484
570,2071,571,2015
968,1427,1058,1427
696,2531,781,2531
4850,3016,4851,3070
3135,3706,3175,3707
